                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.13157,                 1.4251,                0.94962,                0.75477,                0.81756,                0.88423,                0.88226,                  0.195,                 1.1285,                0.19243,             0.00033301,             0.00033301,             0.00033301
                      2,                0.09864,                0.71658,                0.91699,                0.86846,                0.89267,                0.93452,                 0.9339,                0.19737,                0.71206,                0.21338,             0.00060037,             0.00060037,             0.00060037
                      3,                0.08702,                0.55151,                0.91774,                0.85677,                0.91241,                0.94623,                0.94317,                0.23736,                0.64033,                0.21571,             0.00080174,             0.00080174,             0.00080174
                      4,                 0.0814,                0.45596,                0.91647,                0.89286,                0.91469,                0.95907,                0.95725,                0.21281,                0.50151,                0.19895,               0.000703,               0.000703,               0.000703
                      5,                0.06723,                0.38035,                0.91148,                0.92727,                0.93824,                 0.9687,                0.96688,                0.29029,                0.47833,                0.26173,               0.000604,               0.000604,               0.000604
                      6,                0.05906,                0.33708,                0.90811,                0.92636,                0.92146,                 0.9755,                0.97317,                0.24115,                0.47002,                0.21285,               0.000505,               0.000505,               0.000505
                      7,                0.05023,                0.28469,                0.90544,                0.92404,                0.93722,                0.98003,                0.97892,                0.27291,                0.40905,                0.23858,               0.000406,               0.000406,               0.000406
                      8,                0.04482,                0.23728,                0.90028,                0.94586,                0.94749,                0.98457,                0.97398,                0.25316,                0.38459,                0.22528,               0.000307,               0.000307,               0.000307
                      9,                0.03762,                 0.1992,                0.89968,                0.96472,                0.96469,                0.98516,                0.98235,                 0.2474,                 0.3453,                0.21616,               0.000208,               0.000208,               0.000208
                     10,                0.03239,                0.17135,                0.90092,                0.96935,                0.97104,                0.98951,                0.97952,                0.25048,                0.33022,                0.22033,               0.000109,               0.000109,               0.000109
